user_id,tot_video_cnt,median_video_cnt,mad_video_cnt,days_video_used,prop_video_used,tot_exe_cnt,median_exe_cnt,mad_exe_cnt,days_exe_used,prop_exe_used,tot_mcq_cnt,median_mcq_cnt,mad_mcq_cnt,days_mcq_used,prop_mcq_used,tot_mcog_cnt,median_mcog_cnt,mad_mcog_cnt,days_mcog_used,prop_mcog_used,tot_res_cnt,median_res_cnt,mad_res_cnt,days_res_used,prop_res_used
852,1299,0,0,11,0.28205128205128205,1247,0,0,16,0.41025641025641024,800,0,0,13,0.3333333333333333,109,2,1.4826,29,0.7435897435897436,631,12,10.3782,39,1
853,645,0,0,8,0.19047619047619047,729,1,1.4826,24,0.5714285714285714,208,0,0,9,0.21428571428571427,23,0,0,7,0.16666666666666666,599,8.5,8.8956,42,1
854,1779,0,0,20,0.47619047619047616,1161,0,0,18,0.42857142857142855,527,2,2.9652,21,0.5,180,1,1.4826,22,0.5238095238095238,983,16.5,16.3086,41,0.9761904761904762
855,58,0,0,1,0.04,973,21,31.1346,16,0.64,29,0,0,4,0.16,1,0,0,1,0.04,363,5,5.9304,25,1
856,453,0,0,10,0.3225806451612903,1271,15,22.238999999999997,21,0.6774193548387096,113,0,0,10,0.3225806451612903,110,0,0,8,0.25806451612903225,624,16,17.7912,31,1
857,858,0,0,15,0.375,854,5,7.412999999999999,23,0.575,115,0,0,8,0.2,13,0,0,5,0.125,473,9,7.412999999999999,40,1
858,1243,0,0,15,0.45454545454545453,676,6,8.8956,17,0.5151515151515151,206,0,0,14,0.42424242424242425,6,0,0,5,0.15151515151515152,730,15,16.3086,33,1
859,4168,36.5,54.1149,21,0.5833333333333334,986,1,1.4826,19,0.5277777777777778,196,0,0,17,0.4722222222222222,9,0,0,4,0.1111111111111111,1108,28,25.9455,35,0.9722222222222222
860,765,0,0,4,0.13793103448275862,1088,13,19.273799999999998,19,0.6551724137931034,116,0,0,5,0.1724137931034483,14,0,0,6,0.20689655172413793,612,9,10.3782,29,1
861,0,0,0,0,0,732,1,1.4826,12,0.5714285714285714,6,0,0,1,0.047619047619047616,4,0,0,3,0.14285714285714285,398,7,5.9304,21,1
862,103,0,0,7,0.3888888888888889,341,8.5,12.6021,9,0.5,82,0,0,7,0.3888888888888889,33,1,1.4826,11,0.6111111111111112,304,13.5,13.343399999999999,18,1
