user_id,tot_ontopic_cnt,median_ontopic_cnt,mad_ontopic_cnt,ontopic_days,ontopic_prop,tot_revisit_cnt,median_revisit_cnt,mad_revisit_cnt,revisit_days,revisit_prop,tot_metacog_cnt,median_metacog_cnt,mad_metacog_cnt,metacog_days,metacog_prop,tot_orient_cnt,median_orient_cnt,mad_orient_cnt,orinet_days,orient_prop,tot_prj_cnt,median_prj_cnt,mad_prj_cnt,prj_days,prj_prop
699,180,0.5,0.7413,8,0.5,49,1.5,2.2239,9,0.5625,91,4,4.4478,15,0.9375,55,2.5,2.2239,15,0.9375,10,0,0,2,0.125
700,884,0,0,12,0.3870967741935484,207,0,0,11,0.3548387096774194,161,3,2.9652,30,0.967741935483871,208,4,2.9652,31,1,52,0,0,6,0.1935483870967742
701,867,7,10.3782,39,0.65,186,0,0,11,0.18333333333333332,440,5.5,5.1891,57,0.95,375,5,2.9652,59,0.9833333333333333,109,0,0,18,0.3
702,548,0,0,12,0.4,674,2,2.9652,17,0.5666666666666667,135,3,3.7064999999999997,26,0.8666666666666667,153,3.5,2.2239,29,0.9666666666666667,24,0,0,6,0.2
703,215,0,0,6,0.3333333333333333,0,0,0,0,0,98,5,2.9652,18,1,112,5.5,2.2239,18,1,41,0,0,7,0.3888888888888889
705,457,0,0,11,0.34375,346,0,0,12,0.375,94,2,1.4826,30,0.9375,107,2,1.4826,30,0.9375,19,0,0,4,0.125
706,969,0,0,14,0.4827586206896552,119,0,0,5,0.1724137931034483,256,5,2.9652,29,1,257,5,5.9304,28,0.9655172413793104,161,0,0,9,0.3103448275862069
707,1,0,0,1,0.03125,1103,3,4.4478,16,0.5,299,6,5.9304,31,0.96875,293,6,5.1891,32,1,71,0,0,11,0.34375
708,1546,19,28.1694,23,0.696969696969697,196,0,0,10,0.30303030303030304,190,4,2.9652,32,0.9696969696969697,227,5,2.9652,32,0.9696969696969697,27,0,0,6,0.18181818181818182
709,310,5,7.412999999999999,12,0.5714285714285714,9,0,0,2,0.09523809523809523,162,4,2.9652,21,1,137,5,4.4478,21,1,52,0,0,9,0.42857142857142855
710,1160,0,0,16,0.45714285714285713,1442,9,13.343399999999999,27,0.7714285714285715,242,4,4.4478,34,0.9714285714285714,220,4,4.4478,34,0.9714285714285714,43,0,0,7,0.2
